"id","name","lat","lon"
1,"Cabinda",-4.80148,12.543
2,"Kuando Kubango",-16.311,19.9218
3,"Moxico",-13.281,21.0033
4,"Namibe Province",-15.8249,12.6525
5,"Cunene Province",-16.6271,15.281
6,"Zaire",-6.78301,13.6096
7,"Provincia do Uige",-6.95896,15.4475
8,"Lunda Norte Province",-8.4722,19.6268
9,"Malanje Province",-9.14742,16.9731
10,"Lunda Sul",-10.2341,20.3821
11,"Kwanza Sul",-10.9232,15.0504
12,"Benguela",-12.7993,13.8119
13,"Bengo Province",-8.99949,13.907
14,"Luanda Province",-8.95941,13.3166
15,"Provincia do Bie",-12.7997,17.4921
16,"Cuanza Norte Province",-9.6988,14.9458
17,"Huila Province",-14.7348,14.9844
18,"Huambo",-12.5587,15.6947
