"id","name","lat","lon"
1,"Herzegovina-Neretva Canton",43.3226,17.8878
2,"unknown",43.1037,18.3391
3,"unknown",43.4443,18.7352
4,"unknown",44.8146,17.2619
5,"Una-Sana Canton",44.6409,16.299
6,"unknown",44.9307,18.0675
7,"Posavina Canton",45.06,18.2977
8,"Brčko District",44.8305,18.854
9,"unknown",44.7513,19.1471
10,"Hercegovacko-Bosanski Kanton",43.9773,16.8584
11,"West Herzegovina Canton",43.3908,17.4063
12,"unknown",44.1968,19.0758
13,"Central Bosnia Canton",44.1028,17.6547
14,"Zenica-Doboj Canton",44.2843,18.2479
15,"Tuzla Canton",44.5325,18.5549
16,"unknown",43.9275,18.751
17,"Sarajevo Canton",43.7991,18.3077
18,"Bosnian Podrinje Canton",43.6774,18.8198
